_id,author_name,cover_type,name,num_page,price,provider,publisher,release_year,size,url,weight
629cf7ac56a95be487d017d4,Nguyễn Thị Cẩm Uyên,Bìa mềm,Bài Tập Tiếng Anh 11 (Có Đáp Án),176,44.000,CTCP Phát Hành Sách FAHASA,Tổng Hợp TPHCM,2015, (cm),https://book365.vn/sach/1039802_bai-tap-tieng-anh-11-(co.html,450 (g)
629cf7ac56a95be487d017d8,Nguyễn Thị Cẩm Uyên,Bìa mềm,Học Tốt Tiếng Anh 11 - Tập 2 (Chương Trình Thí Điểm),100,49.000,CTCP Phát Hành Sách FAHASA,Đà Nẵng,2017, (cm),https://book365.vn/sach/1039814_hoc-tot-tieng-anh-11-tap.html,250 (g)
629cf7ac56a95be487d017db,Dương Thị Hương,Bìa mềm,Mega 2020 - Siêu Tốc Luyện Đề THPT Quốc Gia 2020 Tiếng Anh,400,189.000,CTCP Phát Hành Sách FAHASA,Đại Học Quốc Gia Hà Nội,2019, (cm),https://book365.vn/sach/1039852_mega-2020-sieu-toc-luyen.html,420 (g)
629cf7ac56a95be487d017df,Raja Yoga,Bìa mềm,Yoga &amp; Thiền Định (Tái Bản) ,126,58.000,Liên Việt Books,NXB Hồng Đức,2022,21x13.5x1 (cm),https://book365.vn/sach/1162862_yoga-thien-dinh-(tai-ban).html,200 (g)
629cf7ac56a95be487d017e5,Chu Đình Tới,Bìa mềm,Sách - Hành Trang Du Học - Mọi Điều Bạn Cần Biết Về Du Học,,79.000,Nhà sách Alpha Books,Lao Động,2018,21x13x3 (cm),https://book365.vn/sach/1098439_sach-hanh-trang-du-hoc-.html,350 (g)
629cf7ac56a95be487d017fb,Nhiều tác giả,Bìa mềm,Về Thương Chim Sẻ,160,36.000,FIRST NEWS,NXB Trẻ,,25x20x4 (cm),https://book365.vn/sach/1162688_ve-thuong-chim-se.html,400 (g)
629cf7ac56a95be487d0180f,TS.BS Nguyễn Việt Đồng,Bìa mềm,"Sổ tay An toàn, vệ sinh viên tại cơ sở",178,80.000,NXB Thông tin và Truyền thông,Thông tin và Truyền thông,2022,20x14x1 (cm),https://book365.vn/sach/1162715_so-tay-an-toan-ve-sinh-vien.html,300 (g)
629cf7ac56a95be487d01814,Shin Jeongmin,Bìa mềm,Sách - Những Bộ Óc Vĩ Đại: Vị Thánh Của Những Người Khốn Khổ Mẹ Teresa ,,65.000,Nhà sách Alpha Books,Dân Trí,2021,27x22x1 (cm),https://book365.vn/sach/1098588_sach-nhung-bo-oc-vi-dai-.html,200 (g)
629cf7ac56a95be487d01819,Jenny Jacpby/ Vicky Barker,Bìa mềm,Sách - Stem Quanh Em - Khí Tượng Học Siêu Bất Ngờ,,59.000,Nhà sách Alpha Books,Dân Trí,2020,25x22x1 (cm),https://book365.vn/sach/1098602_sach-stem-quanh-em-khi-tuong.html,200 (g)
629cf7ac56a95be487d0181c,Phỏng theo truyện cổ Andersen,Bìa mềm,Sách - Ngày Xửa Ngày Xưa - Cô Bé Tí Hon (Tái Bản 2020),,39.000,Nhà sách Alpha Books,Dấn Trí,2020,21x21x1 (cm),https://book365.vn/sach/1098622_sach-ngay-xua-ngay-xua.html,200 (g)
629cf7ac56a95be487d01834,"Joseph O' Connor &amp; John Seymour",Bìa mềm,Sách - NLP Căn bản (Tái bản 2019),,159.000,Nhà sách Alpha Books,Lao Động - Xã Hội,2021,20x13x2 (cm),https://book365.vn/sach/1098744_sach-nlp-can-ban-(tai-ban.html,400 (g)
629cf7ac56a95be487d0183b,Juli Zeh,Bìa mềm,Xứ Sở Những Cô Gái Đi Xe Máy Mặc Áo Khoác Hoa,148,64.000,FIRST NEWS,NXB Tri Thức,,25x20x4 (cm),https://book365.vn/sach/1162690_xu-so-nhung-co-gai-di.html,400 (g)
629cf7ac56a95be487d0183e,Lucinda Watson,Bìa mềm,Vì Sao Họ Thành Công 1?,280,52.000,FIRST NEWS,NXB Trẻ,,25x20x5 (cm),https://book365.vn/sach/1162672_vi-sao-ho-thanh-cong-1.html,500 (g)
629cf7ac56a95be487d0184e,Lê Huy Khoa Kanata,Bìa mềm,Sách - Từ điển Việt-Hàn,,219.000,Nhà sách Alpha Books,Thế giới,2020,20x13x3 (cm),https://book365.vn/sach/1098936_sach-tu-dien-viet-han.html,600 (g)
629cf7ac56a95be487d01856,"Tạ Huy Long,Nguyễn Việt Hà",Bìa mềm,Tủ sách tranh truyện lịch sử Việt Nam: An Dương Vương,32,15.000,NXB Kim Đồng,Kim Đồng,2020,"14,5x20,5 (cm)",https://book365.vn/sach/229986_tu-sach-tranh-truyen-lich.html,100 (g)
