_id,author_name,cover_type,image_url,name,num_page,price,provider,publisher,release_year,size,url
629c96bceaed391bd553fc3e,Akira Toriyama,Bìa Mềm,https://cdn0.fahasa.com/media/catalog/product/8/9/8935244864892.jpg,Dragon Ball - 7 Viên Ngọc Rồng Tập 34: Người Kế Thừa Của Goku (Tái Bản 2022),188,25.0,Adventure,NXB Kim Đồng,2022,17.6 x 11.3 x 0.5 cm,https://www.fahasa.com/dragon-ball-7-vien-ngoc-rong-tap-34-nguoi-ke-thua-cua-goku-tai-ban-2022.html
629c96bceaed391bd553fc49,Nguyễn Thị Hương Giang,Bìa Mềm,https://cdn0.fahasa.com/media/catalog/product/i/m/image_195509_1_22635.jpg,Vở Tập Viết Tập 2,36,11.0,Cấp 1,NXB Đại Học Sư Phạm,2013,24 x 17 cm,https://www.fahasa.com/vo-tap-viet-tap-2.html
629c96bceaed391bd553fc73,"Cù Thanh Toàn, Nguyễn Quốc Việt",Bìa Mềm,https://cdn0.fahasa.com/media/catalog/product/8/9/8935092539201.jpg,Thần Tốc Luyện Giải Đề Thi Vào Lớp 10 Hóa Học,358,124.0,Cấp 3,NXB Thanh Niên,2016,24 x 16 x 0.5 cm,https://www.fahasa.com/than-toc-luyen-giai-de-thi-vao-lop-10-hoa-hoc.html
629c96bceaed391bd553fc8b,Nhiều Tác Giả,Bìa Mềm,https://cdn0.fahasa.com/media/catalog/product/8/9/8936036308068.jpg,Bồi Dưỡng Năng Lực Tự Học Vật Lí Lớp 7 (Tái Bản),183,42.0,Cấp 2,NXB Đại Học Quốc Gia Hà Nội,2016,24 x 16 cm,https://www.fahasa.com/boi-duong-nang-luc-tu-hoc-vat-li-lop-7-tai-ban.html
629c96bceaed391bd553fc96,Thái Quang Vinh,Bìa Mềm,https://cdn0.fahasa.com/media/catalog/product/8/9/8935083568456.jpg,153 Bài Làm Văn Hay Tiêu Biểu Lớp 10,263,59.0,Cấp 3,NXB Hải Phòng,2016,24 x 16 cm,https://www.fahasa.com/153-bai-lam-van-hay-tieu-bieu-lop-10.html
629c96bceaed391bd553fcb7,"Bùi Văn Vinh , Dương Thị Hồng Điệp , Nguyễn Hằng",Bìa Mềm,https://cdn0.fahasa.com/media/catalog/product/i/m/image_133514.jpg,Tiếng Anh 6 - Luyện Giải Bộ Đề Kiểm Tra Định Kì ,144,99.0,Cấp 2,NXB Thanh Hóa,2017,19 x 27 ,https://www.fahasa.com/tieng-anh-6-luyen-giai-bo-de-kiem-tra-dinh-ki.html
629c96bceaed391bd553fcbe,Abel Chong,Bìa Mềm,https://cdn0.fahasa.com/media/catalog/product/8/9/8936037799735.jpg,Sách Giáo Khoa Toán Singapore Lớp 3 - Classroom Mathematics 3B - More Than A Textbook,122,110.0,Cấp 1,NXB Thế Giới,2017,27.5 x 21.5 x 0.5 cm,https://www.fahasa.com/sach-giao-khoa-toan-singapore-lop-3-classroom-mathematics-3b-more-than-a-textbook.html
629c96bceaed391bd553fcc1,Vũ Đình Bảy,Bìa Mềm,https://cdn0.fahasa.com/media/catalog/product/i/m/image_134318.jpg,Hướng Dẫn Học Và Ôn Tập Giáo Dục Công Dân (Luyện Thi THPT),156,45.0,Cấp 3,Nhà Xuất Bản Đại Học Huế,2017,17 x 24,https://www.fahasa.com/huong-dan-hoc-va-on-tap-giao-duc-cong-dan-luyen-thi-thpt.html
629c96bceaed391bd553fce4,"Nguyễn Hồng Anh, Nguyễn Đình Thị Trang",Bìa Mềm,https://cdn0.fahasa.com/media/catalog/product/8/9/8936110981699.jpg,Toán A+ Em Tự Kiểm Tra Toán Mỗi Tuần Lớp 4 - Tập 1,188,86.0,Cấp 1,NXB Đại Học Quốc Gia Hà Nội,2017,29.5 x 20.5 cm,https://www.fahasa.com/toan-a-em-tu-kiem-tra-toan-moi-tuan-lop-4-tap-1.html
629c96bceaed391bd553fcea,Huỳnh Bảo Châu ,Bìa Mềm,https://cdn0.fahasa.com/media/catalog/product/i/m/image_144812.jpg,Bài Tập Trắc Nghiệm Toán 5 (2017),144,37.0,Cấp 1,NXB Đại Học Quốc Gia TP.HCM,2017,16 x 24,https://www.fahasa.com/bai-tap-trac-nghiem-toan-5-2017.html
629c96bceaed391bd553fcf8,Phạm Văn Công ,Bìa Mềm,https://cdn0.fahasa.com/media/catalog/product/8/9/8935092781587.jpg,Hướng Dẫn Giải Violypic Toán 5,220,58.0,Cấp 1,NXB Đại học Quốc gia Hà Nội,2017,17 x 24,https://www.fahasa.com/huong-dan-giai-violypic-toan-5.html
629c96bceaed391bd553fcf9,Trần Tiến Tự ,Bìa Mềm,https://cdn0.fahasa.com/media/catalog/product/u/n/untitldddd_ed.jpg,Giải Bài Tập Đại Số Và Giải Tích 11 - Cơ Bản,128,36.0,Cấp 3,NXB Đà Nẵng,2016,24 x 16 cm,https://www.fahasa.com/giai-bai-tap-dai-so-giai-tich-11-co-ban-208821.html
629c96bceaed391bd553fcfa,Andrew Brodie,Bìa Mềm,https://cdn0.fahasa.com/media/catalog/product/i/m/image_195509_1_29115.jpg,Mental Maths For Ages 10-11 (Mental Maths),32,98.0,Macmillan Publishers,Andrew Brodie Publications,2005,20.6 x 0.2 x 14 cm,https://www.fahasa.com/mental-maths-for-ages-10-11.html
629c96bceaed391bd553fd02,"Hoàng Hòa Bình, Nguyễn Thu Hương",Bìa Mềm,https://cdn0.fahasa.com/media/catalog/product/z/2/z2431963585077_f37d9be8cb6b53fb06a1403a2be8e824.jpg,Giúp Em Viết Chữ Đẹp 5 - Tập 1 (2018),40,12.0,Cấp 1,NXB Đại Học Sư Phạm,2018,24 x 17 x 0.5 cm,https://www.fahasa.com/giup-em-viet-chu-dep-5-1-t7-khang-phuc.html
629c96bceaed391bd553fd09,Đặng Văn Đông,Bìa Mềm,https://cdn0.fahasa.com/media/catalog/product/i/m/image_195509_1_28552.jpg,Giải Bài Tập Địa Lí Lớp 8,133,33.0,Cấp 2,NXB Tổng Hợp TP.HCM,2014,16 x 24 cm,https://www.fahasa.com/giai-bai-tap-dia-ly-8-tb.html
629c96bceaed391bd553fd0d,Nguyễn Đức Tấn,Bìa Mềm,https://cdn0.fahasa.com/media/catalog/product/i/m/image_179727.jpg,Toán 5 - Bồi Dưỡng Học Sinh Giỏi Theo Chuyên Đề (Phân Số - Tỉ Số),230,70.0,Cấp 1,NXB Tổng Hợp TPHCM,2017,16 x 24,https://www.fahasa.com/toan-5-boi-duong-hoc-sinh-gioi-theo-chuyen-de-phan-so-ti-so.html
629c96bceaed391bd553fd30,"Lê Thị Hồng Phúc, Nguyễn Thanh Hương",Bìa Mềm,https://cdn0.fahasa.com/media/catalog/product/8/9/8936110982337_2.jpg,Big 4 - Bộ Đề Tự Kiểm Tra 4 Kỹ Năng Nghe - Nói - Đọc - Viết (Cơ Bản Và Nâng Cao) Tiếng Anh Lớp 9 - Tập 1,152,69.0,Cấp 2,NXB Đại Học Quốc Gia Hà Nội,2018,29.5 x 20.5 x 0.5 cm,https://www.fahasa.com/big-4-bo-de-tu-kiem-tra-4-ky-nang-nghe-noi-doc-viet-co-ban-va-nang-cao-tieng-anh-lop-9-tap-1.html
629c96bceaed391bd553fd3d,Nhiều Tác Giả,Bìa Mềm,https://cdn0.fahasa.com/media/catalog/product/p/h/phan-loai-va-huong-dan-giai-cac-chuyen-de-hoa-hoc-11_1.jpg,Phân Loại Và Hướng Dẫn Giải Các Chuyên Đề Hóa Học Lớp 11,256,77.0,Cấp 3,NXB Đại Học Quốc Gia Hà Nội,2018,24 x 16 x 0.5 cm,https://www.fahasa.com/phan-loai-va-huong-dan-giai-cac-chuyen-de-hoa-hoc-lop-11.html
629c96bceaed391bd553fd49,Naru Narumi,Bìa Mềm,https://cdn0.fahasa.com/media/catalog/product/9/7/9786045653975.jpg,Koizumi - Cô Gái Thích Mỳ Ramen (Tập 3),134,30.0,Comedy,NXB Phụ Nữ,2018,13 x 18,https://www.fahasa.com/koizumi-co-gai-thich-my-ramen-tap-3.html
629c96bceaed391bd553fd56,Phan Thị Hồ Điệp,Bìa Mềm,https://cdn0.fahasa.com/media/catalog/product/8/9/8935280902091.jpg,Combo Ở Nơi Yên Ấm - 4 Cuốn,144,196.0,Thái Hà,NXB Lao Động,2018,21 x 18.7 x 0.3 cm,https://www.fahasa.com/combo-o-noi-yen-am-4-cuon.html
